UID	common_name
NCBIGENE:3600	IL15
NCBIGENE:2150	F2RL1
NCBIGENE:8629	JRK
NCBIGENE:57122	NUP107
NCBIGENE:7037	TFRC
NCBIGENE:28444	IGHV3-21
NCBIGENE:26160	IFT172
NCBIGENE:10653	SPINT2
NCBIGENE:91801	ALKBH8
NCBIGENE:6342	SCP2
NCBIGENE:5568	PRKACG
NCBIGENE:51479	ANKFY1
NCBIGENE:5566	PRKACA
NCBIGENE:781	CACNA2D1
NCBIGENE:79048	SECISBP2
NCBIGENE:93589	CACNA2D4
NCBIGENE:613	BCR
NCBIGENE:23395	LARS2
NCBIGENE:4522	MTHFD1
NCBIGENE:6341	SCO1
NCBIGENE:9997	SCO2
NCBIGENE:2130	EWSR1
NCBIGENE:7036	TFR2
NCBIGENE:1649	DDIT3
NCBIGENE:185	AGTR1
NCBIGENE:84876	ORAI1
NCBIGENE:186	AGTR2
NCBIGENE:10133	OPTN
NCBIGENE:6418	SET
NCBIGENE:1305	COL13A1
NCBIGENE:51128	SAR1B
NCBIGENE:10641	NPRL2
NCBIGENE:8131	NPRL3
NCBIGENE:145173	B3GLCT
NCBIGENE:81794	ADAMTS10
NCBIGENE:11093	ADAMTS13
NCBIGENE:145226	RDH12
NCBIGENE:51109	RDH11
NCBIGENE:3141	HLCS
NCBIGENE:10984	KCNQ1OT1
NCBIGENE:170692	ADAMTS18
NCBIGENE:170691	ADAMTS17
NCBIGENE:3060	HCRT
NCBIGENE:84126	ATRIP
NCBIGENE:114034	TOE1
NCBIGENE:1387	CREBBP
NCBIGENE:182	JAG1
NCBIGENE:3728	JUP
NCBIGENE:10529	NEBL
NCBIGENE:9451	EIF2AK3
NCBIGENE:51574	LARP7
NCBIGENE:440275	EIF2AK4
NCBIGENE:3897	L1CAM
NCBIGENE:5087	PBX1
NCBIGENE:1719	DHFR
NCBIGENE:374393	FAM111B
NCBIGENE:63901	FAM111A
NCBIGENE:81887	LAS1L
NCBIGENE:161497	STRC
NCBIGENE:486	FXYD2
NCBIGENE:119559	SFXN4
NCBIGENE:3123	HLA-DRB1
NCBIGENE:3746	KCNC1
NCBIGENE:1807	DPYS
NCBIGENE:3748	KCNC3
NCBIGENE:51422	PRKAG2
NCBIGENE:29887	SNX10
NCBIGENE:118856	MMP21
NCBIGENE:9313	MMP20
NCBIGENE:6469	SHH
NCBIGENE:843	CASP10
NCBIGENE:7592	ZNF41
NCBIGENE:4747	NEFL
NCBIGENE:3717	JAK2
NCBIGENE:3718	JAK3
NCBIGENE:4744	NEFH
NCBIGENE:6571	SLC18A2
NCBIGENE:6572	SLC18A3
NCBIGENE:10297	APC2
NCBIGENE:4607	MYBPC3
NCBIGENE:64377	CHST8
NCBIGENE:4166	CHST6
NCBIGENE:4604	MYBPC1
NCBIGENE:9742	IFT140
NCBIGENE:3752	KCND3
NCBIGENE:56159	TEX11
NCBIGENE:633	BGN
NCBIGENE:56155	TEX14
NCBIGENE:56154	TEX15
NCBIGENE:1848	DUSP6
NCBIGENE:4323	MMP14
NCBIGENE:4322	MMP13
NCBIGENE:54949	SDHAF2
NCBIGENE:51651	PTRH2
NCBIGENE:8540	AGPS
NCBIGENE:1806	DPYD
NCBIGENE:644096	SDHAF1
NCBIGENE:4327	MMP19
NCBIGENE:1409	CRYAA
NCBIGENE:1410	CRYAB
NCBIGENE:9469	CHST3
NCBIGENE:5048	PAFAH1B1
NCBIGENE:1892	ECHS1
NCBIGENE:3736	KCNA1
NCBIGENE:3737	KCNA2
NCBIGENE:3741	KCNA5
NCBIGENE:5325	PLAGL1
NCBIGENE:6809	STX3
NCBIGENE:83700	JAM3
NCBIGENE:84896	ATAD1
NCBIGENE:54583	EGLN1
NCBIGENE:55777	MBD5
NCBIGENE:5313	PKLR
NCBIGENE:3745	KCNB1
NCBIGENE:6497	SKI
NCBIGENE:83987	CCDC8
NCBIGENE:57231	SNX14
NCBIGENE:8030	CCDC6
NCBIGENE:23310	NCAPD3
NCBIGENE:375790	AGRN
NCBIGENE:64412	GZF1
NCBIGENE:30008	EFEMP2
NCBIGENE:2202	EFEMP1
NCBIGENE:23509	POFUT1
NCBIGENE:7389	UROD
NCBIGENE:4750	NEK1
NCBIGENE:4751	NEK2
NCBIGENE:9064	MAP3K6
NCBIGENE:6885	MAP3K7
NCBIGENE:7293	TNFRSF4
NCBIGENE:3756	KCNH1
NCBIGENE:3757	KCNH2
NCBIGENE:84649	DGAT2
NCBIGENE:8694	DGAT1
NCBIGENE:23250	ATP11A
NCBIGENE:2956	MSH6
NCBIGENE:9562	MINPP1
NCBIGENE:60561	RINT1
NCBIGENE:4436	MSH2
NCBIGENE:6608	SMO
